id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,event_url,sf_event_guid,sf_server,sf_stream_name
SF11C10328403028555000,SF11E617771,35.563,-76.031,RX,99.9999997516,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/9a3e9b57-b9e1-4d78-966b-c8f85062b6b3,9a3e9b57-b9e1-4d78-966b-c8f85062b6b3,playground.dri.edu,realtime
SF11C10328413028555000,SF11E616892,35.089,-76.687,RX,69.9999998261,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/44855766-f5dd-4d21-877a-389f87a38ab6,44855766-f5dd-4d21-877a-389f87a38ab6,playground.dri.edu,realtime
SF11C10328423028555000,SF11E617778,35.57,-76.553,RX,99.9999997516,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/5ccedcf8-24be-4905-9a66-06304704f71a,5ccedcf8-24be-4905-9a66-06304704f71a,playground.dri.edu,realtime
SF11C10328433028555000,SF11E617929,35.474,-76.713,RX,99.9999997516,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/efa29766-3ff4-4f00-bcd4-a90abca9b120,efa29766-3ff4-4f00-bcd4-a90abca9b120,playground.dri.edu,realtime
SF11C10328443028555000,SF11E617882,36.284,-76.489,RX,99.9999997516,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/200ffd66-3b72-4c9e-9f29-80e46c7b9f07,200ffd66-3b72-4c9e-9f29-80e46c7b9f07,playground.dri.edu,realtime
SF11C10328453028555000,SF11E617800,36.045,-76.769,RX,99.9999997516,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/90213be0-7b48-4bed-a4e0-00bf25d7037a,90213be0-7b48-4bed-a4e0-00bf25d7037a,playground.dri.edu,realtime
SF11C10328463028555000,SF11E617922,36.124,-76.822,RX,99.9999997516,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/87fc3192-2034-485b-9f49-4d01e55bfb04,87fc3192-2034-485b-9f49-4d01e55bfb04,playground.dri.edu,realtime
SF11C10328473028555000,SF11E617979,36.184,-76.949,RX,69.9999998261,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/4966c0e1-5cde-4a49-a799-12063019453f,4966c0e1-5cde-4a49-a799-12063019453f,playground.dri.edu,realtime
SF11C10328483028555000,SF11E617788,36.174,-77.019,RX,69.9999998261,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/b9ed9c69-e551-4d9b-a5c6-bbb6348f7019,b9ed9c69-e551-4d9b-a5c6-bbb6348f7019,playground.dri.edu,realtime
SF11C10328493028555000,SF11E617950,35.426,-77.411,RX,99.9999997516,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/397ec070-5239-4913-8656-0e0f63f0038b,397ec070-5239-4913-8656-0e0f63f0038b,playground.dri.edu,realtime
SF11C10328503028555000,SF11E617872,34.758,-77.922,RX,74.9999998137,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/6ffbfadc-3f67-42c6-8424-fb548d09b42a,6ffbfadc-3f67-42c6-8424-fb548d09b42a,playground.dri.edu,realtime
SF11C10328513028555000,SF11E617826,35.233,-77.738,RX,99.9999997516,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/b4fd96d4-4e9a-49f9-a260-767928a88067,b4fd96d4-4e9a-49f9-a260-767928a88067,playground.dri.edu,realtime
SF11C10328523028555000,SF11E617858,35.038,-77.887,RX,74.9999998137,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/7825ec79-0850-4988-9e1b-04cffd6a2926,7825ec79-0850-4988-9e1b-04cffd6a2926,playground.dri.edu,realtime
SF11C10328533028555000,SF11E616878,35.132,-77.96,RX,99.9999997516,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/5503f3fd-96d4-42a8-8268-d308d4218a0d,5503f3fd-96d4-42a8-8268-d308d4218a0d,playground.dri.edu,realtime
SF11C10328543028555000,SF11E617868,34.432,-78.289,RX,74.9999998137,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/e601f586-356d-48d0-816c-cb85db9ee509,e601f586-356d-48d0-816c-cb85db9ee509,playground.dri.edu,realtime
SF11C10328553028555000,SF11E617905,35.555,-77.913,RX,99.9999997516,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/11aa569b-cafd-4a86-b781-3e393efa4c41,11aa569b-cafd-4a86-b781-3e393efa4c41,playground.dri.edu,realtime
SF11C10328563028555000,SF11E617939,35.099,-78.126,RX,99.9999997516,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/8ad793b7-749d-4d6c-b4c7-fd6584410554,8ad793b7-749d-4d6c-b4c7-fd6584410554,playground.dri.edu,realtime
SF11C10328573028555000,SF11E617910,36.843,-77.437,RX,69.9999998261,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/d1f6ea2a-0c9b-4944-a7e6-60b3864bc820,d1f6ea2a-0c9b-4944-a7e6-60b3864bc820,playground.dri.edu,realtime
SF11C10328583028555000,SF11E617789,28.045,-81.024,RX,99.9999997516,201407010000Z,,,,,http://playground.dri.edu/smartfire/events/652c2194-33bf-4d5c-ad2b-61c9cb140c57,652c2194-33bf-4d5c-ad2b-61c9cb140c57,playground.dri.edu,realtime
