id,event_id,latitude,longitude,type,area,date_time,slope,state,county,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,VEG,canopy,event_url,fccs_number,owner,sf_event_guid,sf_server,sf_stream_name
SF11C173753817327541150,SF11E1056918,42.572,-123.474,WF,0.00361304308425,201506290000Z,10.0,OR,,USA,41033,2810001000,0.3,1.4,1.8,0.8,2.5,0.0,2.43,0.14,3.2,1.0,0.06,7.0,8.0,9.0,12.0,80.0,40.0,12.3096741305,4.01849766826,2.73640712182,1.61117683956,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,9.700529000000001,0.0007240000000000007,0.0008540000000000006,0.008320999999999993,0.10732799999999997,0.00040300000000000036,0.000125,0.00012499999999999995,5.5e-05,0.0019640000000000013,Jeffrey pine - Ponderosa pine - Douglas-fir - Black oak forest,8.33,http://playground.dri.edu/smartfire/events/113edd95-e91f-43db-9bfc-f8124d893053,16,,113edd95-e91f-43db-9bfc-f8124d893053,playground.dri.edu,realtime
SF11C173753817327541150,SF11E1056918,42.572,-123.474,WF,0.00361304308425,201506300000Z,10.0,OR,,USA,41033,2810001000,0.3,1.4,1.8,0.8,2.5,0.0,2.43,0.14,3.2,1.0,0.06,7.0,8.0,9.0,12.0,80.0,40.0,12.3096741305,4.01849766826,2.73640712182,1.61117683956,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,9.700529000000001,0.0007240000000000007,0.0008540000000000006,0.008320999999999993,0.10732799999999997,0.00040300000000000036,0.000125,0.00012499999999999995,5.5e-05,0.0019640000000000013,Jeffrey pine - Ponderosa pine - Douglas-fir - Black oak forest,8.33,http://playground.dri.edu/smartfire/events/113edd95-e91f-43db-9bfc-f8124d893053,16,,113edd95-e91f-43db-9bfc-f8124d893053,playground.dri.edu,realtime
SF11C18569746369834450,SF11E1098567,42.708,-122.193,WF,0.331195616056,201506290000Z,10.0,OR,,USA,41035,2810001000,0.2,0.2,0.4,0.2,6.0,2.5,0.16,0.08,24.5,2.0,0.02,7.0,8.0,9.0,12.0,80.0,40.0,11.8818187809,17.1986441554,23.811730098,18.0255331964,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,105048.05540200001,0.25414000000000014,0.29989500000000013,3.131373999999999,25.379447999999996,0.14882799999999993,0.021831999999999987,0.05098499999999998,0.017143999999999993,0.732959,Pacific silver fir - Mountain hemlock forest,9.38,http://playground.dri.edu/smartfire/events/ebdb38e1-8a2a-454a-b6d2-1468ae5c435a,238,,ebdb38e1-8a2a-454a-b6d2-1468ae5c435a,playground.dri.edu,realtime
SF11C18569746369834450,SF11E1098567,42.708,-122.193,WF,0.331195616056,201506300000Z,10.0,OR,,USA,41035,2810001000,0.2,0.2,0.4,0.2,6.0,2.5,0.16,0.08,24.5,2.0,0.02,7.0,8.0,9.0,12.0,80.0,40.0,11.8818187809,17.1986441554,23.811730098,18.0255331964,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,105048.05540200001,0.25414000000000014,0.29989500000000013,3.131373999999999,25.379447999999996,0.14882799999999993,0.021831999999999987,0.05098499999999998,0.017143999999999993,0.732959,Pacific silver fir - Mountain hemlock forest,9.38,http://playground.dri.edu/smartfire/events/ebdb38e1-8a2a-454a-b6d2-1468ae5c435a,238,,ebdb38e1-8a2a-454a-b6d2-1468ae5c435a,playground.dri.edu,realtime
SF11C185701517262583870,SF11E1098181,37.722,-113.037,WF,0.0106837295502,201506290000Z,10.0,UT,,USA,49021,2810001000,0.2,0.4,1.0,0.3,0.0,0.0,0.54,0.09,0.4,0.2,0.01,7.0,8.0,9.0,12.0,80.0,40.0,4.40483572338,0.8542109549,0.521567300854,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,29.336541999999994,0.0005800000000000004,0.0006800000000000005,0.006461000000000004,0.09808,0.0003170000000000004,0.000126,9.499999999999999e-05,5.2000000000000004e-05,0.001533999999999999,Pinyon - Juniper forest,1.28,http://playground.dri.edu/smartfire/events/cd030e75-ff53-4a24-b219-fa8ddd494280,210,,cd030e75-ff53-4a24-b219-fa8ddd494280,playground.dri.edu,realtime
SF11C185701517262583870,SF11E1098181,37.722,-113.037,WF,0.0106837295502,201506300000Z,10.0,UT,,USA,49021,2810001000,0.2,0.4,1.0,0.3,0.0,0.0,0.54,0.09,0.4,0.2,0.01,7.0,8.0,9.0,12.0,80.0,40.0,4.40483572338,0.8542109549,0.521567300854,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,29.336541999999994,0.0005800000000000004,0.0006800000000000005,0.006461000000000004,0.09808,0.0003170000000000004,0.000126,9.499999999999999e-05,5.2000000000000004e-05,0.001533999999999999,Pinyon - Juniper forest,1.28,http://playground.dri.edu/smartfire/events/cd030e75-ff53-4a24-b219-fa8ddd494280,210,,cd030e75-ff53-4a24-b219-fa8ddd494280,playground.dri.edu,realtime
SF11C18570296369834450,SF11E1098340,31.418,-111.242,WF,12.2542378003,201506290000Z,10.0,AZ,,USA,04023,2810001000,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.4,0.0,0.0,0.1,7.0,8.0,9.0,12.0,80.0,40.0,1.15177624181,0.0637508449411,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,9756533.843602998,0.115746,0.13657400000000003,1.17754,24.372373,0.061619999999999994,0.03486899999999999,0.01969,0.014598999999999999,0.283062,Mesquite savanna,0.21,http://playground.dri.edu/smartfire/events/ef0a7fe7-f2e7-4034-b5b3-0669cf39cab5,232,,ef0a7fe7-f2e7-4034-b5b3-0669cf39cab5,playground.dri.edu,realtime
SF11C18570296369834450,SF11E1098340,31.418,-111.242,WF,12.2542378003,201506300000Z,10.0,AZ,,USA,04023,2810001000,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.4,0.0,0.0,0.1,7.0,8.0,9.0,12.0,80.0,40.0,1.15177624181,0.0637508449411,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,9756533.843602998,0.115746,0.13657400000000003,1.17754,24.372373,0.061619999999999994,0.03486899999999999,0.01969,0.014598999999999999,0.283062,Mesquite savanna,0.21,http://playground.dri.edu/smartfire/events/ef0a7fe7-f2e7-4034-b5b3-0669cf39cab5,232,,ef0a7fe7-f2e7-4034-b5b3-0669cf39cab5,playground.dri.edu,realtime
SF11C18572974246556530,SF11E1098547,61.486,-149.115,WF,0.496793424086,201506290000Z,10.0,Unknown,,Unknown,02170,2810001000,0.3,0.5,1.5,2.0,0.0,0.0,0.7,0.02,0.5,5.0,0.01,7.0,8.0,9.0,12.0,80.0,40.0,14.5424579654,23.4381595196,27.9374709794,48.7715686167,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,298467.121732,0.47638099999999983,0.5621360000000001,5.872637000000003,47.414456999999985,0.27903399999999995,0.040629,0.095621,0.03204600000000001,1.3744959999999997,White spruce forest,9.69,http://playground.dri.edu/smartfire/events/18b3ae33-2970-4d91-97d5-ae7e54f2587f,101,,18b3ae33-2970-4d91-97d5-ae7e54f2587f,playground.dri.edu,realtime
SF11C18572974246556530,SF11E1098547,61.486,-149.115,WF,0.496793424086,201506300000Z,10.0,Unknown,,Unknown,02170,2810001000,0.3,0.5,1.5,2.0,0.0,0.0,0.7,0.02,0.5,5.0,0.01,7.0,8.0,9.0,12.0,80.0,40.0,14.5424579654,23.4381595196,27.9374709794,48.7715686167,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,298467.121732,0.47638099999999983,0.5621360000000001,5.872637000000003,47.414456999999985,0.27903399999999995,0.040629,0.095621,0.03204600000000001,1.3744959999999997,White spruce forest,9.69,http://playground.dri.edu/smartfire/events/18b3ae33-2970-4d91-97d5-ae7e54f2587f,101,,18b3ae33-2970-4d91-97d5-ae7e54f2587f,playground.dri.edu,realtime
