id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,VEG,canopy,fccs,fccs_number
RX0,RXFires,32.885,-115.358,RX,1.0,201608010000Z,10.0,CA,USA,06025,2810015000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,1.0,1.0,10.0,12.0,12.0,22.0,130.0,150.0,4.48544490131,0.430478521927,0.332945533864,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,287745.186989,0.045326999999999985,0.053483,0.4821850000000001,8.461275000000002,0.024659000000000004,0.011543999999999997,0.008010999999999997,0.005136000000000002,0.11514500000000001,Urban,0.0,0,0
RX1,RXFires,35.989,-99.011,RX,1.0,201608010000Z,10.0,OK,USA,40043,2810015000,0.2,0.8,3.5,0.5,0.5,0.0,1.15,0.18,12.0,2.0,0.02,10.0,12.0,12.0,22.0,130.0,150.0,5.65147262319,2.59958615949,4.20048045668,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,396593.24945800006,0.15395399999999995,0.18167100000000003,1.8310579999999996,18.772745999999998,0.08852999999999996,0.019841,0.02995299999999999,0.012183999999999999,0.43056900000000004,Black cottonwood - Douglas-fir - Quaking aspen,28.68,1,1
RX10,RXFires,46.977,-123.117,RX,1.0,201608010000Z,10.0,WA,USA,53067,2810015000,1.3,1.0,1.0,5.0,35.0,5.0,0.72,0.22,17.0,5.0,0.13,10.0,12.0,12.0,22.0,130.0,150.0,20.1497618861,35.0724969134,40.228286045,52.5389633796,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1865361.3868929998,1.3963979999999996,1.6477539999999993,17.234963,137.91570599999997,0.8184380000000002,0.11698800000000001,0.2805709999999999,0.09338200000000002,4.033264000000001,Western hemlock - Douglas-fir - Sitka spruce forest,25.78,10,10
RX107,RXFires,44.020196,-70.55806,RX,1.0,201608010000Z,10.0,ME,USA,23005,2810015000,0.1,0.7,0.5,0.1,0.0,0.0,0.6,0.02,0.2,3.0,0.0,10.0,12.0,12.0,22.0,130.0,150.0,4.98437119216,9.43176002112,7.94287383464,17.8750074981,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,477098.099827,0.324729,0.3831850000000001,4.001924000000001,32.382465,0.19018300000000002,0.027804999999999993,0.06516300000000001,0.021885000000000005,0.9366939999999998,Pitch pine / Scrub oak forest,2.64,107,107
RX11,RXFires,47.412,-123.824,RX,1.0,201608010000Z,10.0,WA,USA,53027,2810015000,1.0,2.0,4.0,5.0,5.0,5.0,0.49,0.19,15.0,1.25,0.06,10.0,12.0,12.0,22.0,130.0,150.0,12.2999055616,7.43759772942,8.86521335731,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,890736.4502119999,0.36009700000000006,0.42491499999999993,4.301193000000001,42.952608000000005,0.20751100000000003,0.04453700000000003,0.07031899999999999,0.027993999999999995,1.0108329999999996,Douglas-fir / Western hemlock - Sitka spruce forest,12.35,11,11
RX110,RXFires,44.804,-84.561,RX,1.0,201608010000Z,10.0,MI,USA,26039,2810015000,0.4,0.5,1.0,1.0,5.0,0.0,0.15,0.1,1.5,1.0,0.01,10.0,12.0,12.0,22.0,130.0,150.0,3.84613096308,1.81522011783,1.3117576751,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,268793.290926,0.07991900000000002,0.09430500000000001,0.9320859999999999,10.693741000000001,0.04549299999999999,0.012141999999999995,0.015290999999999997,0.006830000000000001,0.21974899999999997,American beech - Yellow birch - Sugar maple forest,19.14,110,110
RX114,RXFires,34.13,-85.804,RX,1.0,201608010000Z,10.0,AL,USA,01019,2810015000,0.2,0.7,0.4,0.3,0.5,0.0,0.35,0.16,0.5,2.0,0.04,10.0,12.0,12.0,22.0,130.0,150.0,4.06585265964,0.586785140758,0.243490279013,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,263521.549574,0.043396,0.051205999999999995,0.4661759999999999,7.862716000000002,0.023714999999999996,0.010586999999999994,0.0077300000000000025,0.004799000000000001,0.11116399999999999,Virginia pine - Pitch pine -  Shortleaf pine forest,4.68,114,114
RX12,RXFires,45.408791,-121.712355,RX,1.0,201608010000Z,10.0,OR,USA,41027,2810015000,0.3,0.6,1.1,0.6,4.5,7.0,0.01,0.04,9.1,1.4,0.02,10.0,12.0,12.0,22.0,130.0,150.0,5.24154074292,4.21636741525,5.16830564986,0.0146826303554,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,399358.286629,0.19390200000000002,0.22880099999999998,2.343885,21.69161399999999,0.11242799999999997,0.021185000000000002,0.038260999999999996,0.014313999999999999,0.5499809999999999,Mountain hemlock - Red fir - Lodgepole pine - White pine forest,16.21,12,12
RX123,RXFires,32.734,-87.042,RX,1.0,201608010000Z,10.0,AL,USA,01105,2810015000,0.6,1.2,1.6,1.5,1.8,0.0,1.31,0.04,0.8,2.0,0.02,10.0,12.0,12.0,22.0,130.0,150.0,7.67750723247,1.15023179633,0.423939705112,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,498128.0584430001,0.08204300000000002,0.09680900000000003,0.8816469999999996,14.856161000000002,0.044848000000000006,0.020003000000000003,0.014623000000000004,0.009063999999999996,0.21023899999999998,White oak - Northern red oak - Black oak - Hickory forest,19.35,123,123
RX129,RXFires,40.92,-82.542,RX,1.0,201608010000Z,10.0,OH,USA,39139,2810015000,0.1,0.2,1.5,1.5,1.5,0.0,0.79,0.09,1.0,1.0,0.02,10.0,12.0,12.0,22.0,130.0,150.0,3.75171731202,1.18646036679,0.83232419942,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,252781.220551,0.06083400000000001,0.071786,0.6928559999999995,8.99687,0.034214999999999995,0.010910999999999999,0.011401000000000003,0.005656000000000001,0.163869,Green Ash - American Elm Forest,24.7,129,129
