id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,VEG,canopy,fccs_number
RX0,RXFires,32.885,-115.358,RX,100.0,201608010000Z,10.0,CA,USA,06025,2810015000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,1.0,1.0,10.0,12.0,12.0,22.0,130.0,150.0,4.48544490131,0.430478521927,0.332945533864,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1571292503.9331307,4.532897,5.348822000000001,48.218413000000005,846.1277750000002,2.4654619999999996,1.1546759999999998,0.8010410000000003,0.514263,11.51492,Urban,0.0,0
RX1,RXFires,35.989,-99.011,RX,100.0,201608010000Z,10.0,OK,USA,40043,2810015000,0.2,0.8,3.5,0.5,0.5,0.0,1.15,0.18,12.0,2.0,0.02,10.0,12.0,12.0,22.0,130.0,150.0,5.65147262319,2.59958615949,4.20048045668,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,2153502439.8612666,15.396054000000008,18.167343000000002,183.10572199999996,1877.274531,8.852500999999997,1.9835720000000001,2.995237999999999,1.2185929999999998,43.056534,Black cottonwood - Douglas-fir - Quaking aspen,28.68,1
RX10,RXFires,46.977,-123.117,RX,100.0,201608010000Z,10.0,WA,USA,53067,2810015000,1.3,1.0,1.0,5.0,35.0,5.0,0.72,0.22,17.0,5.0,0.13,10.0,12.0,12.0,22.0,130.0,150.0,20.1497618861,35.0724969134,40.228286045,52.5389633796,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,9927857536.749565,139.640238,164.77548400000003,1723.4963400000001,13791.570212999999,81.84439300000004,11.69886,28.057478,9.338297999999996,403.3262710000001,Western hemlock - Douglas-fir - Sitka spruce forest,25.78,10
RX11,RXFires,47.412,-123.824,RX,100.0,201608010000Z,10.0,WA,USA,53027,2810015000,1.0,2.0,4.0,5.0,5.0,5.0,0.49,0.19,15.0,1.25,0.06,10.0,12.0,12.0,22.0,130.0,150.0,12.2999055616,7.43759772942,8.86521335731,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,4826903044.691579,36.009884,42.49165499999998,430.11904200000004,4295.260580000001,20.751001999999993,4.453633,7.031871000000001,2.799570999999999,101.08320999999998,Douglas-fir / Western hemlock - Sitka spruce forest,12.35,11
RX110,RXFires,44.804,-84.561,RX,100.0,201608010000Z,10.0,MI,USA,26039,2810015000,0.4,0.5,1.0,1.0,5.0,0.0,0.15,0.1,1.5,1.0,0.01,10.0,12.0,12.0,22.0,130.0,150.0,3.84613096308,1.81522011783,1.3117576751,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1460910194.13272,7.992002,9.430566000000002,93.20846800000002,1069.374115,4.549722000000001,1.2142150000000003,1.528673,0.6828440000000002,21.974677000000003,American beech - Yellow birch - Sugar maple forest,19.14,110
RX114,RXFires,34.13,-85.804,RX,100.0,201608010000Z,10.0,AL,USA,01019,2810015000,0.2,0.7,0.4,0.3,0.5,0.0,0.35,0.16,0.5,2.0,0.04,10.0,12.0,12.0,22.0,130.0,150.0,4.06585265964,0.586785140758,0.243490279013,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1438265176.4691799,4.3392300000000015,5.1202869999999985,46.61798099999999,786.2712489999998,2.371505,1.0592370000000002,0.7733459999999996,0.47972800000000004,11.116774,Virginia pine - Pitch pine -  Shortleaf pine forest,4.68,114
RX123,RXFires,32.734,-87.042,RX,100.0,201608010000Z,10.0,AL,USA,01105,2810015000,0.6,1.2,1.6,1.5,1.8,0.0,1.31,0.04,0.8,2.0,0.02,10.0,12.0,12.0,22.0,130.0,150.0,7.67750723247,1.15023179633,0.423939705112,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,2718350616.6032515,8.204547999999999,9.681374000000002,88.16515600000001,1485.6154539999995,4.484515,2.0007320000000006,1.462517,0.906491,21.023636000000003,White oak - Northern red oak - Black oak - Hickory forest,19.35,123
RX129,RXFires,40.92,-82.542,RX,100.0,201608010000Z,10.0,OH,USA,39139,2810015000,0.1,0.2,1.5,1.5,1.5,0.0,0.79,0.09,1.0,1.0,0.02,10.0,12.0,12.0,22.0,130.0,150.0,3.75171731202,1.18646036679,0.83232419942,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1376690015.097507,6.083322000000001,7.178323,69.285645,899.686954,3.4219850000000003,1.0909160000000002,1.1399849999999991,0.5651800000000002,16.387257,Green Ash - American Elm Forest,24.7,129
RX131,RXFires,34.675,-98.552,RX,100.0,201608010000Z,10.0,OK,USA,40031,2810015000,0.0,0.0,0.0,0.0,0.0,0.0,0.13,2.39,0.0,0.0,0.92,10.0,12.0,12.0,22.0,130.0,150.0,3.6254789335,0.204278156091,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1260536055.441751,2.979103,3.5153429999999997,30.3232,626.5522070000001,1.58651,0.8959119999999999,0.5070520000000001,0.37531099999999995,7.288811999999999,Bluestem - Indian grass - Switchgrass grassland,0.64,131
RX133,RXFires,35.266,-95.847,RX,100.0,201608010000Z,10.0,OK,USA,40091,2810015000,0.4,0.2,0.0,0.0,0.0,0.0,0.27,2.1,0.0,0.0,0.9,10.0,12.0,12.0,22.0,130.0,150.0,3.64986483062,0.214515194734,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1269610045.989328,3.013877,3.556378,30.713384999999995,632.0012560000001,1.6059259999999997,0.902746,0.513479,0.378708,7.381290000000001,Tall fescue - Foxtail - Purple bluestem grassland,0.54,133
