id,event_id,latitude,longitude,type,area,date_time,slope,state,county,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,VEG,canopy,event_url,fccs_number,owner,sf_event_guid,sf_server,sf_stream_name
SF11C82457681127408740,SF11E4412722,37.226,-92.39,RX,99.9999997516,201909020000Z,10.0,MO,,USA,29229,2810015000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,1.0,1.0,10.0,12.0,12.0,22.0,130.0,150.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,Urban,0.0,http://128.208.123.111/smartfire/events/e526f0f7-f01e-4524-b2ff-3bff3ca40b4a,0,,e526f0f7-f01e-4524-b2ff-3bff3ca40b4a,128.208.123.111,realtime
SF11C82457681127408740,SF11E4412722,37.226,-92.39,RX,99.9999997516,201909030000Z,10.0,MO,,USA,29229,2810015000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,1.0,1.0,10.0,12.0,12.0,22.0,130.0,150.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,Urban,0.0,http://128.208.123.111/smartfire/events/e526f0f7-f01e-4524-b2ff-3bff3ca40b4a,0,,e526f0f7-f01e-4524-b2ff-3bff3ca40b4a,128.208.123.111,realtime
SF11C82457681127408740,SF11E4412722,37.226,-92.39,RX,99.9999997516,201909040000Z,10.0,MO,,USA,29229,2810015000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,1.0,1.0,10.0,12.0,12.0,22.0,130.0,150.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,Urban,0.0,http://128.208.123.111/smartfire/events/e526f0f7-f01e-4524-b2ff-3bff3ca40b4a,0,,e526f0f7-f01e-4524-b2ff-3bff3ca40b4a,128.208.123.111,realtime
SF11C82457681127408740,SF11E4412722,37.226,-92.39,RX,99.9999997516,201909050000Z,10.0,MO,,USA,29229,2810015000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,1.0,1.0,10.0,12.0,12.0,22.0,130.0,150.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,Urban,0.0,http://128.208.123.111/smartfire/events/e526f0f7-f01e-4524-b2ff-3bff3ca40b4a,0,,e526f0f7-f01e-4524-b2ff-3bff3ca40b4a,128.208.123.111,realtime
SF11C82457681127408740,SF11E4412722,37.226,-92.39,RX,99.9999997516,201909060000Z,10.0,MO,,USA,29229,2810015000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,1.0,1.0,10.0,12.0,12.0,22.0,130.0,150.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,Urban,0.0,http://128.208.123.111/smartfire/events/e526f0f7-f01e-4524-b2ff-3bff3ca40b4a,0,,e526f0f7-f01e-4524-b2ff-3bff3ca40b4a,128.208.123.111,realtime
SF11C82457691127408740,SF11E4411050,33.696,-87.393,RX,121.999999697,201909020000Z,10.0,AL,,USA,01127,2810015000,0.6,0.9,1.5,0.4,0.0,0.0,3.78,0.12,1.0,0.9,0.03,10.0,12.0,12.0,22.0,130.0,150.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,Chestnut oak - White oak - Red oak forest,13.68,http://128.208.123.111/smartfire/events/26e06873-2820-49b5-998d-23ea167d71e2,275,,26e06873-2820-49b5-998d-23ea167d71e2,128.208.123.111,realtime
SF11C82457691127408740,SF11E4411050,33.696,-87.393,RX,121.999999697,201909030000Z,10.0,AL,,USA,01127,2810015000,0.6,0.9,1.5,0.4,0.0,0.0,3.78,0.12,1.0,0.9,0.03,10.0,12.0,12.0,22.0,130.0,150.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,Chestnut oak - White oak - Red oak forest,13.68,http://128.208.123.111/smartfire/events/26e06873-2820-49b5-998d-23ea167d71e2,275,,26e06873-2820-49b5-998d-23ea167d71e2,128.208.123.111,realtime
SF11C82457691127408740,SF11E4411050,33.696,-87.393,RX,121.999999697,201909040000Z,10.0,AL,,USA,01127,2810015000,0.6,0.9,1.5,0.4,0.0,0.0,3.78,0.12,1.0,0.9,0.03,10.0,12.0,12.0,22.0,130.0,150.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,Chestnut oak - White oak - Red oak forest,13.68,http://128.208.123.111/smartfire/events/26e06873-2820-49b5-998d-23ea167d71e2,275,,26e06873-2820-49b5-998d-23ea167d71e2,128.208.123.111,realtime
SF11C82457691127408740,SF11E4411050,33.696,-87.393,RX,121.999999697,201909050000Z,10.0,AL,,USA,01127,2810015000,0.6,0.9,1.5,0.4,0.0,0.0,3.78,0.12,1.0,0.9,0.03,10.0,12.0,12.0,22.0,130.0,150.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,Chestnut oak - White oak - Red oak forest,13.68,http://128.208.123.111/smartfire/events/26e06873-2820-49b5-998d-23ea167d71e2,275,,26e06873-2820-49b5-998d-23ea167d71e2,128.208.123.111,realtime
SF11C82457691127408740,SF11E4411050,33.696,-87.393,RX,121.999999697,201909060000Z,10.0,AL,,USA,01127,2810015000,0.6,0.9,1.5,0.4,0.0,0.0,3.78,0.12,1.0,0.9,0.03,10.0,12.0,12.0,22.0,130.0,150.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,Chestnut oak - White oak - Red oak forest,13.68,http://128.208.123.111/smartfire/events/26e06873-2820-49b5-998d-23ea167d71e2,275,,26e06873-2820-49b5-998d-23ea167d71e2,128.208.123.111,realtime
SF11C82457701127408740,SF11E4414891,44.792,-62.813,RX,99.9999997516,201909020000Z,10.0,Unknown,,Unknown,-9999,2810015000,,,,,,,,,,,,10.0,12.0,12.0,22.0,130.0,150.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,,,http://128.208.123.111/smartfire/events/802e0d1f-2a73-4dd7-9437-4fb3e6783821,,,802e0d1f-2a73-4dd7-9437-4fb3e6783821,128.208.123.111,realtime
