hour, temp, humid, wind_flame, modified_wind, stability, dif_temp_grad
0, 15.273403, 74.650816, 6.000000, 5.364000, F, 0.025000
1, 14.684179, 76.037227, 6.000000, 5.000000, F, 0.025000
2, 14.247670, 77.064305, 6.000000, 5.000000, F, 0.025000
3, 13.924297, 77.825184, 6.000000, 5.000000, F, 0.025000
4, 13.000000, 80.000000, 6.000000, 5.000000, F, 0.025000
5, 15.659386, 73.742621, 6.000000, 5.000000, B, -0.008000
6, 18.253289, 67.639320, 6.000000, 5.000000, B, -0.008000
7, 20.717838, 61.840380, 6.000000, 5.000000, B, -0.008000
8, 22.992349, 56.488590, 6.000000, 5.000000, B, -0.008000
9, 25.020815, 51.715729, 6.000000, 5.000000, B, -0.008000
10, 26.753289, 47.639320, 6.000000, 5.000000, B, -0.008000
11, 28.147111, 44.359739, 6.000000, 5.000000, B, -0.008000
12, 29.167961, 41.957739, 6.000000, 5.000000, B, -0.008000
13, 29.790702, 40.492466, 6.000000, 5.000000, B, -0.008000
14, 30.000000, 40.000000, 6.000000, 5.000000, B, -0.008000
15, 29.790702, 40.492466, 6.000000, 5.000000, B, -0.008000
16, 29.167961, 41.957739, 6.000000, 5.000000, B, -0.008000
17, 28.147111, 44.359739, 6.000000, 5.000000, B, -0.008000
18, 26.753289, 47.639320, 6.000000, 5.000000, B, -0.008000
19, 23.188687, 56.026619, 6.000000, 5.000000, F, 0.025000
20, 20.547965, 62.240082, 6.000000, 5.000000, F, 0.025000
21, 18.591670, 66.843129, 6.000000, 5.000000, F, 0.025000
22, 17.142411, 70.253151, 6.000000, 5.000000, F, 0.025000
23, 16.068774, 72.779356, 6.000000, 5.000000, F, 0.025000
