hour, area_fract, flame, smolder, residual
0, 0.005701, 0.005694, 0.004132, 0.000286
1, 0.005701, 0.005701, 0.003629, 0.000517
2, 0.005701, 0.005701, 0.003256, 0.000706
3, 0.005701, 0.005701, 0.002980, 0.000864
4, 0.005701, 0.005701, 0.002775, 0.000996
5, 0.005701, 0.005701, 0.002623, 0.001108
6, 0.005701, 0.005701, 0.002511, 0.001205
7, 0.005701, 0.005701, 0.002427, 0.001290
8, 0.005701, 0.005701, 0.002189, 0.001352
9, 0.005701, 0.005701, 0.002874, 0.001457
10, 0.020004, 0.019985, 0.012427, 0.002216
11, 0.040008, 0.039982, 0.029308, 0.004090
12, 0.070014, 0.069975, 0.058483, 0.007851
13, 0.100020, 0.099981, 0.092715, 0.013720
14, 0.130026, 0.129987, 0.130708, 0.021810
15, 0.160032, 0.159993, 0.170950, 0.032124
16, 0.170034, 0.170021, 0.189481, 0.043005
17, 0.120024, 0.120089, 0.137144, 0.049514
18, 0.070014, 0.070079, 0.080669, 0.051667
19, 0.040008, 0.040047, 0.045719, 0.051255
20, 0.005701, 0.005746, 0.006363, 0.048150
21, 0.005701, 0.005701, 0.006090, 0.045242
22, 0.005701, 0.005701, 0.005732, 0.042510
23, 0.005701, 0.005701, 0.004814, 0.039903
24, 0.000000, 0.000007, 0.000001, 0.037144
25, 0.000000, 0.000000, 0.000000, 0.034575
26, 0.000000, 0.000000, 0.000000, 0.032185
27, 0.000000, 0.000000, 0.000000, 0.029959
28, 0.000000, 0.000000, 0.000000, 0.027887
29, 0.000000, 0.000000, 0.000000, 0.025959
30, 0.000000, 0.000000, 0.000000, 0.024164
31, 0.000000, 0.000000, 0.000000, 0.022493
32, 0.000000, 0.000000, 0.000000, 0.020938
33, 0.000000, 0.000000, 0.000000, 0.019490
34, 0.000000, 0.000000, 0.000000, 0.018142
35, 0.000000, 0.000000, 0.000000, 0.016888
36, 0.000000, 0.000000, 0.000000, 0.015720
37, 0.000000, 0.000000, 0.000000, 0.014633
38, 0.000000, 0.000000, 0.000000, 0.013621
39, 0.000000, 0.000000, 0.000000, 0.012679
40, 0.000000, 0.000000, 0.000000, 0.011803
41, 0.000000, 0.000000, 0.000000, 0.010986
42, 0.000000, 0.000000, 0.000000, 0.010227
43, 0.000000, 0.000000, 0.000000, 0.009520
44, 0.000000, 0.000000, 0.000000, 0.008861
45, 0.000000, 0.000000, 0.000000, 0.008249
46, 0.000000, 0.000000, 0.000000, 0.007678
47, 0.000000, 0.000000, 0.000000, 0.007147
48, 0.000000, 0.000000, 0.000000, 0.006653
49, 0.000000, 0.000000, 0.000000, 0.006193
50, 0.000000, 0.000000, 0.000000, 0.005765
51, 0.000000, 0.000000, 0.000000, 0.005366
52, 0.000000, 0.000000, 0.000000, 0.004995
53, 0.000000, 0.000000, 0.000000, 0.004650
54, 0.000000, 0.000000, 0.000000, 0.004328
55, 0.000000, 0.000000, 0.000000, 0.004029
56, 0.000000, 0.000000, 0.000000, 0.003750
57, 0.000000, 0.000000, 0.000000, 0.003491
58, 0.000000, 0.000000, 0.000000, 0.003250
59, 0.000000, 0.000000, 0.000000, 0.003025
60, 0.000000, 0.000000, 0.000000, 0.002816
61, 0.000000, 0.000000, 0.000000, 0.002621
62, 0.000000, 0.000000, 0.000000, 0.002440
63, 0.000000, 0.000000, 0.000000, 0.002271
64, 0.000000, 0.000000, 0.000000, 0.002114
65, 0.000000, 0.000000, 0.000000, 0.001968
66, 0.000000, 0.000000, 0.000000, 0.001832
67, 0.000000, 0.000000, 0.000000, 0.001705
68, 0.000000, 0.000000, 0.000000, 0.001587
69, 0.000000, 0.000000, 0.000000, 0.001477
70, 0.000000, 0.000000, 0.000000, 0.001375
71, 0.000000, 0.000000, 0.000000, 0.001280
72, 0.000000, 0.000000, 0.000000, 0.001192
73, 0.000000, 0.000000, 0.000000, 0.001109
74, 0.000000, 0.000000, 0.000000, 0.001033
75, 0.000000, 0.000000, 0.000000, 0.000961
76, 0.000000, 0.000000, 0.000000, 0.000895
77, 0.000000, 0.000000, 0.000000, 0.000833
78, 0.000000, 0.000000, 0.000000, 0.000775
79, 0.000000, 0.000000, 0.000000, 0.000722
80, 0.000000, 0.000000, 0.000000, 0.000672
81, 0.000000, 0.000000, 0.000000, 0.000625
82, 0.000000, 0.000000, 0.000000, 0.000582
83, 0.000000, 0.000000, 0.000000, 0.000542
84, 0.000000, 0.000000, 0.000000, 0.000504
85, 0.000000, 0.000000, 0.000000, 0.000469
86, 0.000000, 0.000000, 0.000000, 0.000437
87, 0.000000, 0.000000, 0.000000, 0.000407
88, 0.000000, 0.000000, 0.000000, 0.000379
89, 0.000000, 0.000000, 0.000000, 0.000352
90, 0.000000, 0.000000, 0.000000, 0.000328
91, 0.000000, 0.000000, 0.000000, 0.000305
92, 0.000000, 0.000000, 0.000000, 0.000284
93, 0.000000, 0.000000, 0.000000, 0.000265
94, 0.000000, 0.000000, 0.000000, 0.000246
95, 0.000000, 0.000000, 0.000000, 0.000229
